id_empresa	id_formula	fecha	orden_empaque	tipo_registro	orden_empaque_anterior	cantidad_producida	n_batches	id_usuario	fec_registro	ind_macro	costo_m_prima_usada	cant_m_prima_usada	costo_unitario_orden	unidad_medida	ind_inventarios	costo_m_obra	costo_indirecto	costo_total	ind_inventarios_entrada
01	PTGR130	23/12/1999 00:00:00	13937	C		23800.00	17.00	IBPC	07/01/2000 08:40:50:9	N	431199.820	141.100	3055.990						
01	PTCI161	23/12/1999 00:00:00	13927	C		12600.00	7.00	IBPC	07/01/2000 08:40:50:4	N	258304.410	80.860	3194.460						
01	PTGR120	23/12/1999 00:00:00	13936	C		3600.00	2.00	IBPC	07/01/2000 08:40:50:84	N	87814.480	25.280	3473.670						
01	PTGR174	23/12/1999 00:00:00	13934	C		14400.00	8.00	IBPC	07/01/2000 08:40:50:73	N	199699.950	91.330	2186.580						
01	PTRP123	22/12/1999 00:00:00	13913	C		10800.00	6.00	IBPC	07/01/2000 08:39:00:77	N	175572.060	79.500	2208.450						
01	PTGR152	22/12/1999 00:00:00	13910	P	13909	16200.00	9.00	IBPC	07/01/2000 08:38:47:43	S	6211377.690	16116.000	385.420						
01	PTRP155	22/12/1999 00:00:00	13912	P	13911	21600.00	12.00	IBPC	07/01/2000 08:38:47:97	S	8310443.420	21476.000	386.960						
01	PTRP123	22/12/1999 00:00:00	13913	P	13912	10800.00	6.00	IBPC	07/01/2000 08:38:48:19	S	4270971.510	10731.000	398.000						
01	PTRP134	22/12/1999 00:00:00	13915	C		4200.00	3.00	IBPC	07/01/2000 08:39:00:88	N	54375.780	29.100	1868.580						
01	PTRP191	22/12/1999 00:00:00	13916	P	13915	21000.00	15.00	IBPC	07/01/2000 08:38:49:02	S	7865451.380	20890.000	376.520						
01	PTRP134	22/12/1999 00:00:00	13917	P	13916	18200.00	13.00	IBPC	07/01/2000 08:38:49:35	S	7076969.410	18102.000	390.950						
01	PTGR180	22/12/1999 00:00:00	13920	C		32400.00	18.00	IBPC	07/01/2000 08:39:01:16	N	621314.560	191.650	3241.920						
01	PTGR162	22/12/1999 00:00:00	13909	C		43200.00	24.00	IBPC	07/01/2000 08:39:00:55	N	953859.790	301.920	3159.310						
01	PTGR162	22/12/1999 00:00:00	13919	P	13918	46800.00	26.00	IBPC	07/01/2000 08:38:49:84	S	17664056.990	46547.000	379.490						
01	PTGR180	22/12/1999 00:00:00	13920	P	13919	32400.00	18.00	IBPC	07/01/2000 08:38:50:23	S	11858867.000	32152.000	368.840						
01	PTGR162	22/12/1999 00:00:00	13919	C		46800.00	26.00	IBPC	07/01/2000 08:39:01:1	N	1033348.080	327.080	3159.310						
01	PTCI161	22/12/1999 00:00:00	13918	C		12600.00	7.00	IBPC	07/01/2000 08:39:01:05	N	258303.660	80.860	3194.460						
01	PTRP155	22/12/1999 00:00:00	13912	C		21600.00	12.00	IBPC	07/01/2000 08:39:00:72	N	306193.530	141.790	2159.490						
01	PTRP134	22/12/1999 00:00:00	13915	P	13914	4200.00	3.00	IBPC	07/01/2000 08:38:48:8	S	1634061.450	4182.000	390.740						
01	PTCI161	22/12/1999 00:00:00	13918	P	13917	12600.00	7.00	IBPC	07/01/2000 08:38:49:57	S	4793160.310	12529.000	382.570						
01	PTGR162	22/12/1999 00:00:00	13909	P	13908	43200.00	24.00	IBPC	07/01/2000 08:38:47:21	S	16465638.010	42969.000	383.200						
01	PTRP134	22/12/1999 00:00:00	13917	C		18200.00	13.00	IBPC	07/01/2000 08:39:00:99	N	235628.410	126.110	1868.440						
01	PTGR174	22/12/1999 00:00:00	13908	P	13907	21600.00	12.00	IBPC	07/01/2000 08:38:46:99	S	8070326.410	21484.000	375.640						
01	PTGR152	22/12/1999 00:00:00	13911	P	13910	30600.00	17.00	IBPC	07/01/2000 08:38:47:75	S	11730909.560	30441.000	385.370						
