id_empresa	id_formula	fecha	cant_producida	n_batches	cant_m_prima_usada	costo_m_prima_usada	costo_unitario_diario	id_usuario	fec_registro
01	PTGR155	27/07/1998 00:00:00	19800.000	11.000	19801.080	6666836.454	336.690	ERSS	24/08/1998 14:05:20:83
01	PTGR152	27/07/1998 00:00:00	32400.000	18.000	32420.698	11369737.011	350.690	ERSS	24/08/1998 14:05:20:72
01	PTRP174	27/07/1998 00:00:00	27000.000	15.000	27012.200	8882165.744	328.820	ERSS	24/08/1998 14:05:21:11
01	PTGR150	27/07/1998 00:00:00	27000.000	15.000	27031.065	9446437.664	349.470	ERSS	24/08/1998 14:05:20:67
01	PTCI150	27/07/1998 00:00:00	18000.000	10.000	18010.710	6294803.333	349.500	ERSS	24/08/1998 14:05:20:23
01	PTGR130	27/07/1998 00:00:00	7000.000	5.000	7001.560	2282201.209	325.960	ERSS	24/08/1998 14:05:20:56
01	PTRP155	27/07/1998 00:00:00	18000.000	10.000	18006.200	6058449.658	336.460	ERSS	24/08/1998 14:05:21
01	PTRP134	27/07/1998 00:00:00	28000.000	20.000	28048.200	9118456.216	325.100	ERSS	24/08/1998 14:05:20:94
01	PTCI180	27/07/1998 00:00:00	3600.000	2.000	3599.034	1178448.905	327.430	ERSS	24/08/1998 14:05:20:45
01	PTCI111	27/07/1998 00:00:00	9000.000	5.000	9007.070	3396777.883	377.120	ERSS	24/08/1998 14:05:20:12
01	PTRP156	27/07/1998 00:00:00	3600.000	2.000	3605.240	1230507.234	341.310	ERSS	24/08/1998 14:05:21:05
01	PTGR120	27/07/1998 00:00:00	16200.000	9.000	16228.714	5856056.977	360.850	ERSS	24/08/1998 14:05:20:5
01	PTGR142	27/07/1998 00:00:00	9000.000	5.000	9042.190	3017016.980	333.660	ERSS	24/08/1998 14:05:20:61
01	PTCI170	27/07/1998 00:00:00	3600.000	2.000	3607.022	1212803.620	336.230	ERSS	24/08/1998 14:05:20:39
01	PTCI151	27/07/1998 00:00:00	18000.000	10.000	18008.010	6312912.890	350.560	ERSS	24/08/1998 14:05:20:28
01	PTGR162	27/07/1998 00:00:00	48600.000	27.000	48659.617	16779048.006	344.820	ERSS	24/08/1998 14:05:20:89
01	PTCI130	27/07/1998 00:00:00	2800.000	2.000	2800.224	912019.047	325.700	ERSS	24/08/1998 14:05:20:17
01	PTRP134	28/07/1998 00:00:00	28000.000	20.000	28039.200	9117462.956	325.170	ERSS	24/08/1998 14:07:25:95
01	PTCI152	28/07/1998 00:00:00	7200.000	4.000	7204.044	2524064.235	350.370	ERSS	24/08/1998 14:07:25:51
01	PTRP156	28/07/1998 00:00:00	18000.000	10.000	18031.800	6155739.426	341.380	ERSS	24/08/1998 14:07:26:06
01	PTRP155	28/07/1998 00:00:00	36000.000	20.000	36306.600	12251787.872	337.450	ERSS	24/08/1998 14:07:26:01
01	PTGR174	28/07/1998 00:00:00	27000.000	15.000	27027.200	8892554.194	329.020	ERSS	24/08/1998 14:07:25:79
01	PTCI161	28/07/1998 00:00:00	16200.000	9.000	16208.529	5561490.413	343.120	ERSS	24/08/1998 14:07:25:62
01	PTGR176	28/07/1998 00:00:00	41400.000	23.000	41436.783	14070329.353	339.560	ERSS	24/08/1998 14:07:25:84
01	PTGR162	28/07/1998 00:00:00	32400.000	18.000	32432.078	11216091.629	345.830	ERSS	24/08/1998 14:07:25:73
01	PTRP191	28/07/1998 00:00:00	21000.000	15.000	21035.640	6481072.544	308.100	ERSS	24/08/1998 14:07:26:17
01	PTGR150	28/07/1998 00:00:00	25200.000	14.000	25218.394	8843966.282	350.700	ERSS	24/08/1998 14:07:25:68
01	PTRP175	28/07/1998 00:00:00	18000.000	10.000	18020.800	6012189.296	333.620	ERSS	24/08/1998 14:07:26:12
01	PTRP123	28/07/1998 00:00:00	3600.000	2.000	3600.400	1243762.710	345.450	ERSS	24/08/1998 14:07:25:9
01	PTCI160	28/07/1998 00:00:00	23400.000	13.000	23423.163	8010793.897	342.000	ERSS	24/08/1998 14:07:25:57
01	PTCI171	29/07/1998 00:00:00	3600.000	2.000	3607.262	1217168.951	337.420	ERSS	24/08/1998 14:10:49:84
01	PTGR155	29/07/1998 00:00:00	19800.000	11.000	19821.080	6678036.458	336.920	ERSS	24/08/1998 14:10:50:06
01	PTGA500	29/07/1998 00:00:00	920.000	1.000	924.000	221461.480	239.680	ERSS	24/08/1998 14:10:49:89
01	PTGR162	29/07/1998 00:00:00	48600.000	27.000	48673.067	16827862.013	345.730	ERSS	24/08/1998 14:10:50:11
01	PTRL153	29/07/1998 00:00:00	10800.000	6.000	10818.462	3898074.437	360.320	ERSS	24/08/1998 14:10:50:17
01	PTCI165	29/07/1998 00:00:00	10800.000	6.000	10822.286	3709497.635	342.760	ERSS	24/08/1998 14:10:49:78
01	PTCI161	29/07/1998 00:00:00	36000.000	20.000	36038.820	12394546.026	343.920	ERSS	24/08/1998 14:10:49:67
01	PTGA501	29/07/1998 00:00:00	1840.000	2.000	1845.000	485476.830	263.130	ERSS	24/08/1998 14:10:49:95
01	PTCI160	29/07/1998 00:00:00	36000.000	20.000	36044.220	12404158.227	344.140	ERSS	24/08/1998 14:10:49:62
