id_empresa	cod_granja	id_semana	id_mes	id_year	cod_formula	bultos	kilos	costo	f_inicio	f_fin	id_usuario	fec_registro
01	057	2	6	1998	PTCI151	90	3600	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:34:43:92
01	025	2	6	1998	MAMP060	8	320	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:17:06:28
01	017	2	6	1998	PTRP174	280	11200	3284176.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:58:51:01
01	030	2	6	1998	PTRP155	770	30800	9031484.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:57:31:58
01	024	2	6	1998	PTRP155	615	24600	7213458.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:51:30:83
01	026	2	6	1998	PTCI160	550	22000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:31:39:65
01	014	2	6	1998	MAMP060	3	120	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:58:26:07
01	019	2	6	1998	MAMP060	25	1000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:22:44:62
01	042	2	6	1998	PTRP156	165	6600	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:53:32:93
01	030	2	6	1998	PTRP191	45	1800	503316.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:57:41:69
01	026	2	6	1998	PTCI161	200	8000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:32:41:38
01	028	2	6	1998	PTGR170	1600	64000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:25:55:21
01	037	2	6	1998	PTCI150	500	20000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:24:32:99
01	020	2	6	1998	PTCI151	200	8000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:14:24:19
01	050	2	6	1998	PTRP191	70	2800	782936.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:56:06:51
01	047	2	6	1998	PTRP191	25	1000	279620.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:56:45:45
01	043	2	6	1998	PTCI171	130	5200	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:33:54:1
